"","Date","variable","value"
"63",2012-08-28,"Tablet",24
"64",2012-08-29,"Tablet",24
"65",2012-08-30,"Tablet",24
"66",2012-08-31,"Tablet",24
"67",2012-09-01,"Tablet",24
"68",2012-09-02,"Tablet",24
"69",2012-09-03,"Tablet",24
"70",2012-09-04,"Tablet",24
"71",2012-09-05,"Tablet",24
"72",2012-09-06,"Tablet",24
"73",2012-09-07,"Tablet",24
"74",2012-09-08,"Tablet",24
"75",2012-09-09,"Tablet",24
"76",2012-09-10,"Tablet",24
"77",2012-09-11,"Tablet",24
"78",2012-09-12,"Tablet",24
"79",2012-09-13,"Tablet",24
"80",2012-09-14,"Tablet",24
"81",2012-09-15,"Tablet",24
"82",2012-09-16,"Tablet",24
"83",2012-09-17,"Tablet",24
"84",2012-09-18,"Tablet",24
"85",2012-09-19,"Tablet",24
"86",2012-09-20,"Tablet",24
"87",2012-09-21,"Tablet",24
"88",2012-09-22,"Tablet",24
"89",2012-09-23,"Tablet",24
"90",2012-09-24,"Tablet",24
"91",2012-09-25,"Tablet",24
"92",2012-09-26,"Tablet",24
"93",2012-09-27,"Tablet",24
"94",2012-09-28,"Tablet",24
"95",2012-09-29,"Tablet",24
"96",2012-09-30,"Tablet",24
"97",2012-10-01,"Tablet",24
"98",2012-10-02,"Tablet",24
"99",2012-10-03,"Tablet",24
"100",2012-10-04,"Tablet",24
"101",2012-10-05,"Tablet",24
"102",2012-10-06,"Tablet",24
"103",2012-10-07,"Tablet",24
"104",2012-10-08,"Tablet",24
"105",2012-10-09,"Tablet",24
"106",2012-10-10,"Tablet",24
"107",2012-10-11,"Tablet",24
"108",2012-10-12,"Tablet",24
"109",2012-10-13,"Tablet",24
"110",2012-10-14,"Tablet",24
"111",2012-10-15,"Tablet",24
"112",2012-10-16,"Tablet",24
"113",2012-10-17,"Tablet",24
"114",2012-10-18,"Tablet",24
"115",2012-10-19,"Tablet",24
"116",2012-10-20,"Tablet",24
"117",2012-10-21,"Tablet",24
"118",2012-10-22,"Tablet",24
"119",2012-10-23,"Tablet",24
"120",2012-10-24,"Tablet",24
"121",2012-10-25,"Tablet",24
"122",2012-10-26,"Tablet",24
"123",2012-10-27,"Tablet",24
"124",2012-10-28,"Tablet",24
"125",2012-10-29,"Tablet",24
"126",2012-10-30,"Tablet",24
"127",2012-10-31,"Tablet",24
"128",2012-11-01,"Tablet",24
"129",2012-11-02,"Tablet",24
"130",2012-11-03,"Tablet",24
"131",2012-11-04,"Tablet",24
"132",2012-11-05,"Tablet",24
"133",2012-11-06,"Tablet",24
"134",2012-11-07,"Tablet",24
"135",2012-11-08,"Tablet",24
"136",2012-11-09,"Tablet",24
"137",2012-11-10,"Tablet",24
"138",2012-11-11,"Tablet",24
"139",2012-11-12,"Tablet",24
"140",2012-11-13,"Tablet",24
"141",2012-11-14,"Tablet",24
"142",2012-11-15,"Tablet",24
"143",2012-11-16,"Tablet",24
"144",2012-11-17,"Tablet",24
"145",2012-11-18,"Tablet",24
"146",2012-11-19,"Tablet",24
"147",2012-11-20,"Tablet",24
"148",2012-11-21,"Tablet",24
"149",2012-11-22,"Tablet",24
"150",2012-11-23,"Tablet",24
"151",2012-11-24,"Tablet",24
"152",2012-11-25,"Tablet",24
"153",2012-11-26,"Tablet",24
"154",2012-11-27,"Tablet",24
"155",2012-11-28,"Tablet",24
"156",2012-11-29,"Tablet",24
"157",2012-11-30,"Tablet",24
"158",2012-12-01,"Tablet",24
"159",2012-12-02,"Tablet",24
"160",2012-12-03,"Tablet",24
"161",2012-12-04,"Tablet",24
"162",2012-12-05,"Tablet",24
"163",2012-12-06,"Tablet",24
"164",2012-12-07,"Tablet",24
"165",2012-12-08,"Tablet",24
"166",2012-12-09,"Tablet",24
"167",2012-12-10,"Tablet",24
"168",2012-12-11,"Tablet",24
"169",2012-12-12,"Tablet",24
"170",2012-12-13,"Tablet",24
"171",2012-12-14,"Tablet",24
"172",2012-12-15,"Tablet",24
"173",2012-12-16,"Tablet",24
"174",2012-12-17,"Tablet",24
"175",2012-12-18,"Tablet",24
"176",2012-12-19,"Tablet",24
"177",2012-12-20,"Tablet",24
"178",2012-12-21,"Tablet",24
"179",2012-12-22,"Tablet",24
"180",2012-12-23,"Tablet",24
"181",2012-12-24,"Tablet",24
"182",2012-12-25,"Tablet",24
"183",2012-12-26,"Tablet",24
"184",2012-12-27,"Tablet",24
"185",2012-12-28,"Tablet",24
"186",2012-12-29,"Tablet",24
"187",2012-12-30,"Tablet",24
"188",2012-12-31,"Tablet",24
"189",2013-01-01,"Tablet",24
"190",2013-01-02,"Tablet",24
"191",2013-01-03,"Tablet",24
"192",2013-01-04,"Tablet",24
"193",2013-01-05,"Tablet",24
"194",2013-01-06,"Tablet",24
"195",2013-01-07,"Tablet",24
"196",2013-01-08,"Tablet",24
"197",2013-01-09,"Tablet",24
"198",2013-01-10,"Tablet",24
"199",2013-01-11,"Tablet",24
"200",2013-01-12,"Tablet",24
"201",2013-01-13,"Tablet",24
"202",2013-01-14,"Tablet",24
"203",2013-01-15,"Tablet",24
"204",2013-01-16,"Tablet",24
"205",2013-01-17,"Tablet",24
"206",2013-01-18,"Tablet",24
"207",2013-01-19,"Tablet",24
"208",2013-01-20,"Tablet",24
"209",2013-01-21,"Tablet",24
"210",2013-01-22,"Tablet",24
"211",2013-01-23,"Tablet",24
"212",2013-01-24,"Tablet",24
"213",2013-01-25,"Tablet",24
"214",2013-01-26,"Tablet",24
"215",2013-01-27,"Tablet",24
"216",2013-01-28,"Tablet",24
"217",2013-01-29,"Tablet",24
"218",2013-01-30,"Tablet",24
"219",2012-06-27,"Coffee_machine",24
"220",2012-06-28,"Coffee_machine",24
"221",2012-06-29,"Coffee_machine",24
"222",2012-06-30,"Coffee_machine",9.13888888888889
"223",2012-07-01,"Coffee_machine",0.323611111111111
"224",2012-07-02,"Coffee_machine",0.348055555555556
"225",2012-07-03,"Coffee_machine",0.2875
"226",2012-07-04,"Coffee_machine",0.0955555555555556
"227",2012-07-05,"Coffee_machine",0
"228",2012-07-06,"Coffee_machine",1.27611111111111
"229",2012-07-07,"Coffee_machine",0.379444444444444
"230",2012-07-08,"Coffee_machine",1.23055555555556
"231",2012-07-09,"Coffee_machine",1.28361111111111
"232",2012-07-10,"Coffee_machine",0.856666666666667
"233",2012-07-11,"Coffee_machine",0.715555555555556
"234",2012-07-12,"Coffee_machine",0.660277777777778
"235",2012-07-13,"Coffee_machine",1.01944444444444
"236",2012-07-14,"Coffee_machine",4.65777777777778
"237",2012-07-15,"Coffee_machine",1.82777777777778
"238",2012-07-16,"Coffee_machine",2.28111111111111
"239",2012-07-17,"Coffee_machine",2.09944444444444
"240",2012-07-18,"Coffee_machine",3.54027777777778
"241",2012-07-19,"Coffee_machine",2.97611111111111
"242",2012-07-20,"Coffee_machine",3.02138888888889
"243",2012-07-21,"Coffee_machine",2.14361111111111
"244",2012-07-22,"Coffee_machine",2.13611111111111
"245",2012-07-23,"Coffee_machine",1.91388888888889
"246",2012-07-24,"Coffee_machine",1.90944444444444
"247",2012-07-25,"Coffee_machine",1.78777777777778
"248",2012-07-26,"Coffee_machine",1.99472222222222
"249",2012-07-27,"Coffee_machine",1.66527777777778
"250",2012-07-28,"Coffee_machine",2.00277777777778
"251",2012-07-29,"Coffee_machine",3.66611111111111
"252",2012-07-30,"Coffee_machine",1.95194444444444
"253",2012-07-31,"Coffee_machine",1.89722222222222
"254",2012-08-01,"Coffee_machine",2.76472222222222
"255",2012-08-02,"Coffee_machine",1.89027777777778
"256",2012-08-03,"Coffee_machine",1.64194444444444
"257",2012-08-04,"Coffee_machine",1.87305555555556
"258",2012-08-05,"Coffee_machine",2.49277777777778
"259",2012-08-06,"Coffee_machine",1.61
"260",2012-08-07,"Coffee_machine",1.38222222222222
"261",2012-08-08,"Coffee_machine",3.03194444444444
"262",2012-08-09,"Coffee_machine",1.59555555555556
"263",2012-08-10,"Coffee_machine",2.06527777777778
"264",2012-08-11,"Coffee_machine",1.36638888888889
"265",2012-08-12,"Coffee_machine",1.93305555555556
"266",2012-08-13,"Coffee_machine",2.0825
"267",2012-08-14,"Coffee_machine",1.49
"268",2012-08-15,"Coffee_machine",1.72
"269",2012-08-16,"Coffee_machine",1.37972222222222
"270",2012-08-17,"Coffee_machine",2.37305555555556
"271",2012-08-18,"Coffee_machine",1.3475
"272",2012-08-19,"Coffee_machine",2.63638888888889
"273",2012-08-20,"Coffee_machine",1.73333333333333
"274",2012-08-21,"Coffee_machine",1.78138888888889
"275",2012-08-22,"Coffee_machine",1.29583333333333
"276",2012-08-23,"Coffee_machine",1.99666666666667
"277",2012-08-24,"Coffee_machine",2.14805555555556
"278",2012-08-25,"Coffee_machine",2.31111111111111
"279",2012-08-26,"Coffee_machine",1.51527777777778
"280",2012-08-27,"Coffee_machine",2.96416666666667
"281",2012-08-28,"Coffee_machine",1.63583333333333
"282",2012-08-29,"Coffee_machine",1.37472222222222
"283",2012-08-30,"Coffee_machine",2.02305555555556
"284",2012-08-31,"Coffee_machine",1.69055555555556
"285",2012-09-01,"Coffee_machine",1.64583333333333
"286",2012-09-02,"Coffee_machine",1.96166666666667
"287",2012-09-03,"Coffee_machine",2.31388888888889
"288",2012-09-04,"Coffee_machine",2.55777777777778
"289",2012-09-05,"Coffee_machine",2.22194444444444
"290",2012-09-06,"Coffee_machine",2.46166666666667
"291",2012-09-07,"Coffee_machine",1.67055555555556
"292",2012-09-08,"Coffee_machine",1.33277777777778
"293",2012-09-09,"Coffee_machine",2.04194444444444
"294",2012-09-10,"Coffee_machine",2.13027777777778
"295",2012-09-11,"Coffee_machine",1.83027777777778
"296",2012-09-12,"Coffee_machine",2.1625
"297",2012-09-13,"Coffee_machine",1.53805555555556
"298",2012-09-14,"Coffee_machine",15.1719444444444
"299",2012-09-15,"Coffee_machine",18.0091666666667
"300",2012-09-16,"Coffee_machine",1.30166666666667
"301",2012-09-17,"Coffee_machine",1.22611111111111
"302",2012-09-18,"Coffee_machine",1.05055555555556
"303",2012-09-19,"Coffee_machine",1.0925
"304",2012-09-20,"Coffee_machine",1.73638888888889
"305",2012-09-21,"Coffee_machine",1.66888888888889
"306",2012-09-22,"Coffee_machine",1.54611111111111
"307",2012-09-23,"Coffee_machine",2.52527777777778
"308",2012-09-24,"Coffee_machine",1.94555555555556
"309",2012-09-25,"Coffee_machine",1.63
"310",2012-09-26,"Coffee_machine",2.11916666666667
"311",2012-09-27,"Coffee_machine",1.61166666666667
"312",2012-09-28,"Coffee_machine",1.80944444444444
"313",2012-09-29,"Coffee_machine",2.35305555555556
"314",2012-09-30,"Coffee_machine",2.58805555555556
"315",2012-10-01,"Coffee_machine",1.63
"316",2012-10-02,"Coffee_machine",3.30166666666667
"317",2012-10-03,"Coffee_machine",1.65777777777778
"318",2012-10-04,"Coffee_machine",2.20027777777778
"319",2012-10-05,"Coffee_machine",1.58277777777778
"320",2012-10-06,"Coffee_machine",1.70111111111111
"321",2012-10-07,"Coffee_machine",3.89305555555556
"322",2012-10-08,"Coffee_machine",2.21805555555556
"323",2012-10-09,"Coffee_machine",1.34083333333333
"324",2012-10-10,"Coffee_machine",1.7175
"325",2012-10-11,"Coffee_machine",1.86472222222222
"326",2012-10-12,"Coffee_machine",1.91194444444444
"327",2012-10-13,"Coffee_machine",1.26194444444444
"328",2012-10-14,"Coffee_machine",1.67833333333333
"329",2012-10-15,"Coffee_machine",2.65166666666667
"330",2012-10-16,"Coffee_machine",2.18944444444444
"331",2012-10-17,"Coffee_machine",2.03944444444444
"332",2012-10-18,"Coffee_machine",1.39111111111111
"333",2012-10-19,"Coffee_machine",1.38611111111111
"334",2012-10-20,"Coffee_machine",2.25527777777778
"335",2012-10-21,"Coffee_machine",2.13111111111111
"336",2012-10-22,"Coffee_machine",1.54138888888889
"337",2012-10-23,"Coffee_machine",2.74416666666667
"338",2012-10-24,"Coffee_machine",1.89888888888889
"339",2012-10-25,"Coffee_machine",3.07361111111111
"340",2012-10-26,"Coffee_machine",2.48527777777778
"341",2012-10-27,"Coffee_machine",2.91666666666667
"342",2012-10-28,"Coffee_machine",3.02361111111111
"343",2012-10-29,"Coffee_machine",2.46611111111111
"344",2012-10-30,"Coffee_machine",5.0225
"345",2012-10-31,"Coffee_machine",1.85555555555556
"346",2012-11-01,"Coffee_machine",3.58777777777778
"347",2012-11-02,"Coffee_machine",1.7525
"348",2012-11-03,"Coffee_machine",1.38861111111111
"349",2012-11-04,"Coffee_machine",2.24972222222222
"350",2012-11-05,"Coffee_machine",2.7625
"351",2012-11-06,"Coffee_machine",2.27027777777778
"352",2012-11-07,"Coffee_machine",3.19555555555556
"353",2012-11-08,"Coffee_machine",3.83083333333333
"354",2012-11-09,"Coffee_machine",1.62583333333333
"355",2012-11-10,"Coffee_machine",3.28666666666667
"356",2012-11-11,"Coffee_machine",3.1775
"357",2012-11-12,"Coffee_machine",1.88055555555556
"358",2012-11-13,"Coffee_machine",7.89638888888889
"359",2012-11-14,"Coffee_machine",14.5538888888889
"360",2012-11-15,"Coffee_machine",1.29
"361",2012-11-16,"Coffee_machine",2.2525
"362",2012-11-17,"Coffee_machine",2.45111111111111
"363",2012-11-18,"Coffee_machine",2.79805555555556
"364",2012-11-19,"Coffee_machine",1.80138888888889
"365",2012-11-20,"Coffee_machine",2.20944444444444
"366",2012-11-21,"Coffee_machine",3.05194444444444
"367",2012-11-22,"Coffee_machine",1.82416666666667
"368",2012-11-23,"Coffee_machine",3.01361111111111
"369",2012-11-24,"Coffee_machine",1.55277777777778
"370",2012-11-25,"Coffee_machine",2.17111111111111
"371",2012-11-26,"Coffee_machine",1.78805555555556
"372",2012-11-27,"Coffee_machine",19.4466666666667
"373",2012-11-28,"Coffee_machine",18.0102777777778
"374",2012-11-29,"Coffee_machine",0.8875
"375",2012-11-30,"Coffee_machine",0.879166666666667
"376",2012-12-01,"Coffee_machine",1.27277777777778
"377",2012-12-02,"Coffee_machine",1.12833333333333
"378",2012-12-03,"Coffee_machine",3.39416666666667
"379",2012-12-04,"Coffee_machine",1.03722222222222
"380",2012-12-05,"Coffee_machine",0.884722222222222
"381",2012-12-06,"Coffee_machine",0.984444444444444
"382",2012-12-07,"Coffee_machine",1.02944444444444
"383",2012-12-08,"Coffee_machine",1.34555555555556
"384",2012-12-09,"Coffee_machine",1.02055555555556
"385",2012-12-10,"Coffee_machine",1.17972222222222
"386",2012-12-11,"Coffee_machine",0.628055555555556
"387",2012-12-12,"Coffee_machine",0.753611111111111
"388",2012-12-13,"Coffee_machine",1.36833333333333
"389",2012-12-14,"Coffee_machine",2.43833333333333
"390",2012-12-15,"Coffee_machine",1.82388888888889
"391",2012-12-16,"Coffee_machine",2.78055555555556
"392",2012-12-17,"Coffee_machine",7.45166666666667
"393",2012-12-18,"Coffee_machine",0.398333333333333
"394",2012-12-19,"Coffee_machine",0.74
"395",2012-12-20,"Coffee_machine",0.721388888888889
"396",2012-12-21,"Coffee_machine",1.78555555555556
"397",2012-12-22,"Coffee_machine",0.807222222222222
"398",2012-12-23,"Coffee_machine",0.658611111111111
"399",2012-12-24,"Coffee_machine",2.30333333333333
"400",2012-12-25,"Coffee_machine",0.868611111111111
"401",2012-12-26,"Coffee_machine",1.6725
"402",2012-12-27,"Coffee_machine",0.459722222222222
"403",2012-12-28,"Coffee_machine",1.03277777777778
"404",2012-12-29,"Coffee_machine",0.829166666666667
"405",2012-12-30,"Coffee_machine",0.993888888888889
"406",2012-12-31,"Coffee_machine",2.17027777777778
"407",2013-01-01,"Coffee_machine",2.20944444444444
"408",2013-01-02,"Coffee_machine",0.880555555555556
"409",2013-01-03,"Coffee_machine",1.23583333333333
"410",2013-01-04,"Coffee_machine",1.55083333333333
"411",2013-01-05,"Coffee_machine",1.68861111111111
"412",2013-01-06,"Coffee_machine",1.85722222222222
"413",2013-01-07,"Coffee_machine",0.858333333333333
"414",2013-01-08,"Coffee_machine",2.46638888888889
"415",2013-01-09,"Coffee_machine",1.49527777777778
"416",2013-01-10,"Coffee_machine",2.63611111111111
"417",2013-01-11,"Coffee_machine",1.93888888888889
"418",2013-01-12,"Coffee_machine",1.21
"419",2013-01-13,"Coffee_machine",1.68666666666667
"420",2013-01-14,"Coffee_machine",1.31416666666667
"421",2013-01-15,"Coffee_machine",1.1525
"422",2013-01-16,"Coffee_machine",1.48583333333333
"423",2013-01-17,"Coffee_machine",1.36277777777778
"424",2013-01-18,"Coffee_machine",0.857222222222222
"425",2013-01-19,"Coffee_machine",1.91222222222222
"426",2013-01-20,"Coffee_machine",0.699444444444444
"427",2013-01-21,"Coffee_machine",0.781388888888889
"428",2013-01-22,"Coffee_machine",0.894722222222222
"429",2013-01-23,"Coffee_machine",0.591388888888889
"430",2013-01-24,"Coffee_machine",1.215
"431",2013-01-25,"Coffee_machine",0.9975
"432",2013-01-26,"Coffee_machine",2.13111111111111
"433",2013-01-27,"Coffee_machine",1.42972222222222
"434",2013-01-28,"Coffee_machine",1.79111111111111
"435",2013-01-29,"Coffee_machine",0.961111111111111
"436",2013-01-30,"Coffee_machine",1.38138888888889
"437",2012-06-27,"Fountain",24
"438",2012-06-28,"Fountain",24
"439",2012-06-29,"Fountain",24
"440",2012-06-30,"Fountain",24
"441",2012-07-01,"Fountain",24
"442",2012-07-02,"Fountain",24
"443",2012-07-03,"Fountain",24
"444",2012-07-04,"Fountain",24
"445",2012-07-05,"Fountain",24
"446",2012-07-06,"Fountain",24
"447",2012-07-07,"Fountain",24
"448",2012-07-08,"Fountain",24
"449",2012-07-09,"Fountain",23.9905555555556
"450",2012-07-10,"Fountain",24
"451",2012-07-11,"Fountain",24
"452",2012-07-12,"Fountain",24
"453",2012-07-13,"Fountain",24
"454",2012-07-14,"Fountain",24
"455",2012-07-15,"Fountain",24
"456",2012-07-16,"Fountain",24
"457",2012-07-17,"Fountain",24
"458",2012-07-18,"Fountain",24
"459",2012-07-19,"Fountain",24
"460",2012-07-20,"Fountain",24
"461",2012-07-21,"Fountain",24
"462",2012-07-22,"Fountain",24
"463",2012-07-23,"Fountain",24
"464",2012-07-24,"Fountain",24
"465",2012-07-25,"Fountain",24
"466",2012-07-26,"Fountain",24
"467",2012-07-27,"Fountain",24
"468",2012-07-28,"Fountain",24
"469",2012-07-29,"Fountain",24
"470",2012-07-30,"Fountain",24
"471",2012-07-31,"Fountain",24
"472",2012-08-01,"Fountain",24
"473",2012-08-02,"Fountain",24
"474",2012-08-03,"Fountain",24
"475",2012-08-04,"Fountain",24
"476",2012-08-05,"Fountain",24
"477",2012-08-06,"Fountain",24
"478",2012-08-07,"Fountain",24
"479",2012-08-08,"Fountain",24
"480",2012-08-09,"Fountain",24
"481",2012-08-10,"Fountain",24
"482",2012-08-11,"Fountain",24
"483",2012-08-12,"Fountain",24
"484",2012-08-13,"Fountain",24
"485",2012-08-14,"Fountain",24
"486",2012-08-15,"Fountain",24
"487",2012-08-16,"Fountain",24
"488",2012-08-17,"Fountain",24
"489",2012-08-18,"Fountain",24
"490",2012-08-19,"Fountain",24
"491",2012-08-20,"Fountain",24
"492",2012-08-21,"Fountain",24
"493",2012-08-22,"Fountain",24
"494",2012-08-23,"Fountain",24
"495",2012-08-24,"Fountain",24
"496",2012-08-25,"Fountain",24
"497",2012-08-26,"Fountain",24
"498",2012-08-27,"Fountain",24
"499",2012-08-28,"Fountain",24
"500",2012-08-29,"Fountain",24
"501",2012-08-30,"Fountain",24
"502",2012-08-31,"Fountain",24
"503",2012-09-01,"Fountain",24
"504",2012-09-02,"Fountain",24
"505",2012-09-03,"Fountain",24
"506",2012-09-04,"Fountain",24
"507",2012-09-05,"Fountain",24
"508",2012-09-06,"Fountain",0
"509",2012-09-07,"Fountain",0
"510",2012-09-08,"Fountain",0
"511",2012-09-09,"Fountain",0
"512",2012-09-10,"Fountain",0
"513",2012-09-11,"Fountain",0
"514",2012-09-12,"Fountain",0
"515",2012-09-13,"Fountain",0
"516",2012-09-14,"Fountain",0
"517",2012-09-15,"Fountain",0
"518",2012-09-16,"Fountain",0
"519",2012-09-17,"Fountain",0
"520",2012-09-18,"Fountain",0
"521",2012-09-19,"Fountain",0
"522",2012-09-20,"Fountain",0
"523",2012-09-21,"Fountain",0
"524",2012-09-22,"Fountain",0
"525",2012-09-23,"Fountain",0
"526",2012-09-24,"Fountain",0
"527",2012-09-25,"Fountain",0
"528",2012-09-26,"Fountain",0
"529",2012-09-27,"Fountain",0
"530",2012-09-28,"Fountain",0
"531",2012-09-29,"Fountain",0
"532",2012-09-30,"Fountain",0
"533",2012-10-01,"Fountain",0
"534",2012-10-02,"Fountain",0
"535",2012-10-03,"Fountain",0
"536",2012-10-04,"Fountain",0
"537",2012-10-05,"Fountain",0
"538",2012-10-06,"Fountain",0
"539",2012-10-07,"Fountain",0
"540",2012-10-08,"Fountain",0
"541",2012-10-09,"Fountain",0
"542",2012-10-10,"Fountain",0
"543",2012-10-11,"Fountain",0
"544",2012-10-12,"Fountain",0
"545",2012-10-13,"Fountain",0
"546",2012-10-14,"Fountain",0
"547",2012-10-15,"Fountain",0
"548",2012-10-16,"Fountain",0
"549",2012-10-17,"Fountain",0
"550",2012-10-18,"Fountain",0
"551",2012-10-19,"Fountain",0
"552",2012-10-20,"Fountain",0
"553",2012-10-21,"Fountain",0
"554",2012-10-22,"Fountain",0
"555",2012-10-23,"Fountain",0
"556",2012-10-24,"Fountain",0
"557",2012-10-25,"Fountain",0
"558",2012-10-26,"Fountain",0
"559",2012-10-27,"Fountain",0
"560",2012-10-28,"Fountain",0
"561",2012-10-29,"Fountain",0
"562",2012-10-30,"Fountain",0
"563",2012-10-31,"Fountain",0
"564",2012-11-01,"Fountain",0
"565",2012-11-02,"Fountain",0
"566",2012-11-03,"Fountain",0
"567",2012-11-04,"Fountain",0
"568",2012-11-05,"Fountain",0
"569",2012-11-06,"Fountain",0
"570",2012-11-07,"Fountain",0
"571",2012-11-08,"Fountain",0
"572",2012-11-09,"Fountain",0
"573",2012-11-10,"Fountain",0
"574",2012-11-11,"Fountain",0
"575",2012-11-12,"Fountain",0
"576",2012-11-13,"Fountain",0
"577",2012-11-14,"Fountain",0
"578",2012-11-15,"Fountain",0
"579",2012-11-16,"Fountain",0
"580",2012-11-17,"Fountain",0
"581",2012-11-18,"Fountain",0
"582",2012-11-19,"Fountain",0
"583",2012-11-20,"Fountain",0
"584",2012-11-21,"Fountain",0
"585",2012-11-22,"Fountain",0
"586",2012-11-23,"Fountain",0
"587",2012-11-24,"Fountain",0
"588",2012-11-25,"Fountain",0
"589",2012-11-26,"Fountain",0
"590",2012-11-27,"Fountain",0
"591",2012-11-28,"Fountain",0
"592",2012-11-29,"Fountain",0
"593",2012-11-30,"Fountain",0
"594",2012-12-01,"Fountain",0
"595",2012-12-02,"Fountain",0
"596",2012-12-03,"Fountain",0
"597",2012-12-04,"Fountain",0
"598",2012-12-05,"Fountain",0
"599",2012-12-06,"Fountain",0
"600",2012-12-07,"Fountain",0
"601",2012-12-08,"Fountain",0
"602",2012-12-09,"Fountain",0
"603",2012-12-10,"Fountain",0
"604",2012-12-11,"Fountain",0
"605",2012-12-12,"Fountain",0
"606",2012-12-13,"Fountain",0
"607",2012-12-14,"Fountain",0
"608",2012-12-15,"Fountain",0
"609",2012-12-16,"Fountain",0
"610",2012-12-17,"Fountain",0
"611",2012-12-18,"Fountain",0
"612",2012-12-19,"Fountain",0
"613",2012-12-20,"Fountain",0
"614",2012-12-21,"Fountain",0
"615",2012-12-22,"Fountain",0
"616",2012-12-23,"Fountain",0
"617",2012-12-24,"Fountain",0
"618",2012-12-25,"Fountain",0
"619",2012-12-26,"Fountain",0
"620",2012-12-27,"Fountain",0
"621",2012-12-28,"Fountain",0
"622",2012-12-29,"Fountain",0
"623",2012-12-30,"Fountain",0
"624",2012-12-31,"Fountain",0
"625",2013-01-01,"Fountain",0
"626",2013-01-02,"Fountain",0
"627",2013-01-03,"Fountain",0
"628",2013-01-04,"Fountain",0
"629",2013-01-05,"Fountain",0
"630",2013-01-06,"Fountain",0
"631",2013-01-07,"Fountain",0
"632",2013-01-08,"Fountain",0
"633",2013-01-09,"Fountain",0
"634",2013-01-10,"Fountain",0
"635",2013-01-11,"Fountain",0
"636",2013-01-12,"Fountain",0
"637",2013-01-13,"Fountain",0
"638",2013-01-14,"Fountain",0
"639",2013-01-15,"Fountain",0
"640",2013-01-16,"Fountain",0
"641",2013-01-17,"Fountain",0
"642",2013-01-18,"Fountain",0
"643",2013-01-19,"Fountain",0
"644",2013-01-20,"Fountain",0
"645",2013-01-21,"Fountain",0
"646",2013-01-22,"Fountain",0
"647",2013-01-23,"Fountain",0
"648",2013-01-24,"Fountain",0
"649",2013-01-25,"Fountain",0
"650",2013-01-26,"Fountain",0
"651",2013-01-27,"Fountain",0
"652",2013-01-28,"Fountain",0
"653",2013-01-29,"Fountain",0
"654",2013-01-30,"Fountain",0
"655",2012-06-27,"Microwave",24
"656",2012-06-28,"Microwave",24
"657",2012-06-29,"Microwave",24
"658",2012-06-30,"Microwave",24
"659",2012-07-01,"Microwave",24
"660",2012-07-02,"Microwave",24
"661",2012-07-03,"Microwave",24
"662",2012-07-04,"Microwave",24
"663",2012-07-05,"Microwave",24
"664",2012-07-06,"Microwave",24
"665",2012-07-07,"Microwave",24
"666",2012-07-08,"Microwave",24
"667",2012-07-09,"Microwave",24
"668",2012-07-10,"Microwave",24
"669",2012-07-11,"Microwave",24
"670",2012-07-12,"Microwave",24
"671",2012-07-13,"Microwave",24
"672",2012-07-14,"Microwave",24
"673",2012-07-15,"Microwave",24
